primary_type,arrest,counts
ARSON,False,493
ARSON,True,300
ASSAULT,False,124516
ASSAULT,True,29197
BATTERY,False,595210
BATTERY,True,176115
BURGLARY,False,4277
BURGLARY,True,778
CONCEALED CARRY LICENSE VIOLATION,False,1
CONCEALED CARRY LICENSE VIOLATION,True,2
CRIM SEXUAL ASSAULT,False,4132
CRIM SEXUAL ASSAULT,True,1335
CRIMINAL DAMAGE,False,90070
CRIMINAL DAMAGE,True,13551
CRIMINAL SEXUAL ASSAULT,False,1685
CRIMINAL SEXUAL ASSAULT,True,248
CRIMINAL TRESPASS,False,6891
CRIMINAL TRESPASS,True,4144
DECEPTIVE PRACTICE,False,5458
DECEPTIVE PRACTICE,True,289
DOMESTIC VIOLENCE,True,1
GAMBLING,False,11
GAMBLING,True,7
HOMICIDE,False,59
HOMICIDE,True,839
HUMAN TRAFFICKING,False,12
HUMAN TRAFFICKING,True,1
INTERFERENCE WITH PUBLIC OFFICER,False,31
INTERFERENCE WITH PUBLIC OFFICER,True,131
INTIMIDATION,False,640
INTIMIDATION,True,91
KIDNAPPING,False,2243
KIDNAPPING,True,301
LIQUOR LAW VIOLATION,False,2
LIQUOR LAW VIOLATION,True,11
MOTOR VEHICLE THEFT,False,2774
MOTOR VEHICLE THEFT,True,397
NARCOTICS,False,231
NARCOTICS,True,374
OBSCENITY,False,49
OBSCENITY,True,103
OFFENSE INVOLVING CHILDREN,False,34217
OFFENSE INVOLVING CHILDREN,True,8276
OTHER NARCOTIC VIOLATION,False,1
PROSTITUTION,False,10
PROSTITUTION,True,18
PUBLIC INDECENCY,True,1
PUBLIC PEACE VIOLATION,False,2071
PUBLIC PEACE VIOLATION,True,637
RITUALISM,False,6
RITUALISM,True,1
ROBBERY,False,5578
ROBBERY,True,782
SEX OFFENSE,False,4283
SEX OFFENSE,True,787
STALKING,False,2455
STALKING,True,361
THEFT,False,55573
THEFT,True,3751
WEAPONS VIOLATION,False,146
WEAPONS VIOLATION,True,527
